MATERIAL_CONFLICT,any_diff,course_code,course_name,campus,field,A_uploaded_sheet,B_website,C_counsellor_course_tab,D_whatsapp,E_navya,CHOSEN_VALUE (fill this in),NOTES
YES,yes,BPT-GN,Bachelor of Physiotherapy (BPT),Greater Noida Campus,eligibility,"Candidate must have passed Senior Secondary (10+2) or equivalent with Physics, Chemistry & Biology (or Botany & Zoology) with 50% aggregate with English pass. However, in respect of the candidates belonging to Scheduled Castes, Scheduled Tribes, or Other Backward Classes (NCL), the minimum marks obtained in Physics, Chemistry, and Biology are taken together in the qualifying examination shall be 40% marks instead of 50% marks for Unreserved and General- EWS Candidates. In respect of PwBD/PwD candidates the minimum marks in the qualifying examination in Physics, Chemistry, and Biology (or Botany & Zoology) taken together shall be 40% instead of 50%. English pass required for all categories.","10+2 or equivalent with Physics, Chemistry, Biology (or Botany & Zoology) and English pass. Minimum 50% PCB aggregate; 40% for SC/ST/OBC-NCL/PwD.","BPT: NCAHP Physiotherapy Professional, ISCO Code 2264. Programme duration: 5 years annual (4 academic years + 1 year compulsory internship). Eligibility: 10+2 PCB/Botany & Zoology with 50% aggregate, English pass; 40% for SC/ST/OBC-NCL/PwD. UP 2026-27 admission is through ABVMU CAHET counselling; NEET UG exempt this year. Intake: 60. || 10+2 min 50%; subjects: PCB (English Mandatory)","10+2 PCB with 50% aggregate (40% SC/ST/OBC-NCL/PwD), English pass. UP 2026-27 admission via ABVMU CAHET counselling.","10+2 or equivalent with Physics, Chemistry, Biology (or Botany & Zoology) and English pass. Minimum 50% PCB aggregate; 40% for SC/ST/OBC-NCL/PwD. Minimum age 17.",,
YES,yes,BPT-GN,Bachelor of Physiotherapy (BPT),Greater Noida Campus,entrance_exam,Combined Paramedical Entrance Test (CPET),CAHET 2026 counselling by ABVMU Lucknow,CAHET 2026 Registration,,UP 2026-27: CAHET counselling by ABVMU Lucknow; NEET UG exempt this year,,
YES,yes,BPT-GN,Bachelor of Physiotherapy (BPT),Greater Noida Campus,fee_first_year,92000,90000,,,"Rs 92,000 per year (first year fee)",,
YES,yes,BPT-GN,Bachelor of Physiotherapy (BPT),Greater Noida Campus,intake_seats,60,40,60,,,,
YES,yes,BSCN-GN,Bachelor of Science in Nursing (B.Sc Nursing),Greater Noida Campus,age,"1. Minimum age for admission is 17 years on or before 31st December of admission year. 2. The maximum age limit for admission is 35 years for Unreserved (UR), OBC, EWS, SC and ST, however the maximum age for candidates with Physical Disability (PD/PwD) will be 40 years. (As per INC regulation).",,17-35,,,,
YES,yes,BSCN-GN,Bachelor of Science in Nursing (B.Sc Nursing),Greater Noida Campus,duration,4 Years (8 Semesters,4 years (semester),,,4 Years (8 Semesters) + 6-month paid internship,,
YES,yes,BSCN-GN,Bachelor of Science in Nursing (B.Sc Nursing),Greater Noida Campus,eligibility,"1. Candidates with Science who have passed qualifying 12th Standard examination (10+2) and must have obtained a minimum of 45% marks in Physics, Chemistry and Biology (PCB) taken together and passed in English individually from any recognized board. 2. In respect of candidates belonging to SC/ST/OBC the marks obtained in 3 core subjects shall be 40% instead of 45% for General Category candidates. 3. English is a compulsory subject in 10+2 for eligibility for admission in B.Sc. Nursing. 4. Candidates are also eligible from State Open School recognized by the State Government and National Institute of Open School (NIOS) recognized by the central government having Science subjects and English only.","Passed 10+2 with Physics, Chemistry, Biology with minimum 45% marks. Age between 17-35 years. INC approved intake.","10+2 PCB with min 45% (40% SC/ST). English compulsory. Max age 35 (40 for PwD). Intake: 40. || 10+2 min 45%; subjects: Physics, Chemistry, Biology, English",10+2 PCB with min 45% (40% for SC/ST). English compulsory.,"10+2 with Physics, Chemistry, Biology and English. Minimum 45% aggregate from any recognised board. Minimum age 17 on 31 Dec. Must be medically fit.",,
YES,yes,BSCN-GN,Bachelor of Science in Nursing (B.Sc Nursing),Greater Noida Campus,fee_first_year,153000,100000,,,"Rs 1,53,000 per year (first year fee)",,
YES,yes,DAOTT-GN,Diploma of Anesthesia & OT Technology (D.AOTT),Greater Noida Campus,duration,,2 years (semester),,,2.5 Years (5 semesters),,
YES,yes,DAOTT-GN,Diploma of Anesthesia & OT Technology (D.AOTT),Greater Noida Campus,eligibility,,Passed 10+2 with Science stream. UPSMF approved.,"10+2 PCB or PCM with min 35% aggregate. Intake: 30. ISCO Code 3259. || 10+2 min 35%; subjects: Physics, Chemistry, Biology or Mathematics",10+2 with Operation Theatre relevant subjects. ISCO Code 3259.,10+2 with Operation Theatre relevant subjects. ISCO Code 3259.,,
YES,yes,DAOTT-GN,Diploma of Anesthesia & OT Technology (D.AOTT),Greater Noida Campus,fee_first_year,,55000,,,"Stetho Batch total fee Rs 1,85,000 across 5 semesters: Sem 1 Rs 40,000, Sem 2 Rs 40,000, Sem 3 Rs 40,000, Sem 4 Rs 40,000, Sem 5 Rs 25,000.",,
YES,yes,DAOTT-GN,Diploma of Anesthesia & OT Technology (D.AOTT),Greater Noida Campus,intake_seats,,40,30,,,,
YES,yes,DELED-GZ,Diploma in Elementary Education (D.El.Ed),Ghaziabad Campus 2 (Avantika),duration,2 Years (4 Semesters),2 years (semester),,,,,
YES,yes,DELED-GZ,Diploma in Elementary Education (D.El.Ed),Ghaziabad Campus 2 (Avantika),eligibility,Gradaute or Equivalent - Admitted through counselling conducted by UP Basic Education Board.,Passed 10+2 with minimum 50% marks. Admission through UP state D.El.Ed entrance exam (PTET/BTC). NCTE approved.,Graduate or equivalent. Admitted via UP Basic Education Board counselling. Intake: 50. || graduation required; subjects: Any Graduate,10+2 / Graduation with min 50%.,,,
YES,yes,DPHARMA-GN,Diploma in Pharmacy (D.Pharma),Greater Noida Campus,duration,2 Years,2 years (annual),,,2 Years + 3-month training,,
YES,yes,DPHARMA-GN,Diploma in Pharmacy (D.Pharma),Greater Noida Campus,eligibility,"A pass in 10+2 examination (science academic stream) with Physics, Chemistry and Biology or Mathematics.","Passed 10+2 with Physics, Chemistry, Biology/Mathematics with minimum 45% marks. PCI approved intake.","10+2 Science with PCB or PCM. Intake: 60. || subjects: Physics, Chemistry, Biology or Mathematics",10+2 PCB / PCM with min 50%.,10+2 Science with PCB or PCM. Minimum 50% aggregate.,,
YES,yes,DPHARMA-GN,Diploma in Pharmacy (D.Pharma),Greater Noida Campus,fee_first_year,85000,60000,,,"Rs 95,000 per year (first year fee)",,
YES,yes,DPT-GN,Diploma in Physiotherapy (DPT),Greater Noida Campus,age,The minimum age of admission shall be 17 years on or before 31st December of the year of admission. There is no maximum age limit for admission.,,17-,,,,
YES,yes,DPT-GN,Diploma in Physiotherapy (DPT),Greater Noida Campus,eligibility,Candidate shall have passed 10+2 with PCB or PCM. Minimum 35% marks aggregate in all subjects in 12th.,Passed 10+2 with Science/any stream. UPSMF approved. Admission through direct counselling.,"10+2 PCB or PCM with min 35% aggregate. Intake: 30. || 10+2 min 35%; subjects: Physics, Chemistry, Biology or Mathematics",10+2 with min 50%.,,,
YES,yes,DPT-GN,Diploma in Physiotherapy (DPT),Greater Noida Campus,intake_seats,30,40,30,,,,
YES,yes,GNM-GN,General Nursing & Midwifery (GNM),Greater Noida Campus,age,"The minimum age for admission shall be 17 years on 31st December of the year in which admission is sought. The maximum age limit is 35 years. For ANM/ for LHV, there is no age bar.",,17-35,,,,
YES,yes,GNM-GN,General Nursing & Midwifery (GNM),Greater Noida Campus,duration,3 Years (Training),3 years (annual),,,3 Years + 6-month Internship,,
YES,yes,GNM-GN,General Nursing & Midwifery (GNM),Greater Noida Campus,eligibility,10+2 with English and must have obtained a minimum of 40% at the qualifying examination and English individually from any recognized board. (NIOS and State Open Schools are also acceptable) 10+2 with English having 40% of marks in vocational ANM course from the school recognized by Indian Nursing council. 10+2 with English having 40% of marks in Vocational Stream-Health care Science from a recognized CBSE board/Centre. Registered ANM with pass mark. 5% is relaxed for SC/ST candidates.,10+2 with English and min 40% marks. ANM registered also eligible. UPSMF approved.,"10+2 with English and min 40% marks. ANM registered also eligible. 5% relaxation SC/ST. Intake: 30. || 10+2 min 40%; subjects: English, Any Stream 10+2","10+2 with English, min 40%. ANM registered also eligible.",10+2 from any stream (Arts/Commerce/Science accepted). Minimum 40% aggregate. Age 17-35 years.,,
YES,yes,GNM-GN,General Nursing & Midwifery (GNM),Greater Noida Campus,fee_first_year,118000,75000,,,"Rs 1,18,000 per year (first year fee)",,
YES,yes,LLB-GN,Bachelor of Laws (LLB),Greater Noida Campus,duration,3 Years,3 years (annual),,,BA LLB: 5 Years. LLB: 3 Years.,,
YES,yes,LLB-GN,Bachelor of Laws (LLB),Greater Noida Campus,eligibility,"Applicants must possess a recognized Bachelor's degree in any discipline from a recognized university.Minimum Marks - For Unreserved / General Category 45%, For OBC 42%, For SC / ST 40%",Passed Bachelor's degree in any discipline with minimum 45% marks. Admission via CLAT/state entrance.,"Any bachelor's degree with min 45% (Gen), 42% (OBC), 40% (SC/ST). CLAT preferred. Intake: 60. || graduation required (min 45%); subjects: Any Graduate",10+2 with min 50%.,"BA LLB: 12th pass, min 45%. LLB: Graduation in any stream, min 45% (40% SC/ST/OBC).",,
YES,yes,LLB-GN,Bachelor of Laws (LLB),Greater Noida Campus,fee_first_year,35250,70000,,,"BA LLB: Rs 1,10,000/year | LLB: Rs 44,250/year (first year fees)",,
YES,yes,LLB-KT,Bachelor of Laws (LLB),Kotputli Jaipur Campus,duration,3 Years,3 years (semester),,,BA LLB: 5 Years. LLB: 3 Years.,,
YES,yes,LLB-KT,Bachelor of Laws (LLB),Kotputli Jaipur Campus,eligibility,"Admission for LLB 3 Years (on basis of Grad/Post Grad- 40% for SC/ST/OBC, 45%- GEN).",Passed Bachelor's degree in any discipline with minimum 45% marks. BCI approved.,"Any bachelor's degree with 45% (Gen), 40% (SC/ST/OBC). CLAT preferred. Intake: 60. || graduation required (min 45%); subjects: Any Graduate",,"BA LLB: 12th pass, min 45%. LLB: Graduation in any stream, min 45% (40% SC/ST/OBC).",,
YES,yes,LLB-KT,Bachelor of Laws (LLB),Kotputli Jaipur Campus,fee_first_year,35250,70000,,,"BA LLB: Rs 1,10,000/year | LLB: Rs 44,250/year (first year fees)",,
YES,yes,MBA-GN,Master of Business Administration (MBA),Greater Noida Campus,duration,2 Years (4 Semesters),2 years (semester),,,2 Years (4 Semesters),,
YES,yes,MBA-GN,Master of Business Administration (MBA),Greater Noida Campus,eligibility,Passed Bachelor Degree of minimum 3 years duration. Obtained at least 50% marks (45% marks in case of candidates belonging to SC/ST) category) in the qualifying examination,Bachelor's degree in any discipline with at least 50% marks. Admission through CMAT/MAT/CAT/AKTU entrance.,Bachelor degree min 3 years with 50% (45% for SC/ST). CAT preferred. Intake: 60. || graduation required (min 50%); subjects: Any Graduate,Bachelor degree (3 years+) with min 50% (45% for SC/ST).,Bachelor's degree (3-year minimum) with minimum 50% (45% SC/ST/OBC). Valid CAT/MAT/XAT/CMAT/GMAT/SNAP/NMAT score.,,
YES,yes,MBA-GN,Master of Business Administration (MBA),Greater Noida Campus,fee_first_year,120000,130000,,,"Rs 1,30,000 per year (first year fee)",,
YES,yes,MMRIT-GN,M.Sc. in Medical Radiology & Imaging Technology (MMRIT),Greater Noida Campus,age,Minimum age for admission is 17 years on or before 31st December of admission year. No upper age limit.,,17-,,,,
YES,yes,MMRIT-GN,M.Sc. in Medical Radiology & Imaging Technology (MMRIT),Greater Noida Campus,eligibility,Candidates with B.Sc. in Medical Radiology & Imaging Technology / B.Sc. in Medical Technology Radio Diagnosis & Imaging / B.Sc. Radiology Technology / B.Sc. in Radiography / B.Sc. Medical Technology (X-ray) with minimum 50% aggregate.,BSc in Radiology or equivalent with minimum 55% marks. ABVMUP / CCSU affiliated.,B.Sc MRIT with min 50% or any B.Sc with 60% aggregate. Intake: 20. || graduation required (min 50%); subjects: B.Sc MRIT or equivalent B.Sc,B.Sc MRIT or equivalent B.Sc with min 50%.,,,
YES,yes,MMRIT-GN,M.Sc. in Medical Radiology & Imaging Technology (MMRIT),Greater Noida Campus,fee_first_year,89000,80000,,,,,
YES,yes,MPT-GN,Masters in Physiotherapy (MPT),Greater Noida Campus,age,Minimum age for admission is 17 years on or before 31st December of admission year. No upper age limit.,,17-,,,,
YES,yes,MPT-GN,Masters in Physiotherapy (MPT),Greater Noida Campus,eligibility,Candidates with Bachelor of Physiotherapy (BPT) with 6 months compulsory internship with minimum 50% aggregate.,BPT degree with minimum 55% marks from a recognised university.,BPT with minimum 50% aggregate and 6 months compulsory internship. Intake: 20. || graduation required (min 50%); subjects: BPT with 6 months internship,BPT with min 50% and 6 months internship.,,,
YES,yes,MPT-GN,Masters in Physiotherapy (MPT),Greater Noida Campus,fee_first_year,89000,75000,,,,,
YES,yes,PGDM-GN,Post Graduate Diploma in Management (PGDM),Greater Noida Campus,duration,2 Years,2 years (semester),,,"2 Years (4 Semesters), Full-time Residential",,
YES,yes,PGDM-GN,Post Graduate Diploma in Management (PGDM),Greater Noida Campus,eligibility,"Candidate needs to submit application with SOP. UG 50 %, 45% for SC/ST/OBC",Bachelor's degree with minimum 50% marks. No entrance exam required. Direct admission.,UG degree with 50% (45% SC/ST/OBC). SOP required. CAT preferred. Intake: 60. || graduation required (min 50%); subjects: Any Graduate,,Bachelor's degree (3-year minimum) with minimum 50% (45% reserved). Valid CAT/MAT/XAT/CMAT score.,,
YES,yes,PGDM-GN,Post Graduate Diploma in Management (PGDM),Greater Noida Campus,fee_first_year,205000,200000,,,"Rs 2,25,000 per year (first year fee)",,
YES,yes,PGDM-KT,Post Graduate Diploma in Management (PGDM),Kotputli Jaipur Campus,duration,2 Years,2 years (semester),,,"2 Years (4 Semesters), Full-time Residential",,
YES,yes,PGDM-KT,Post Graduate Diploma in Management (PGDM),Kotputli Jaipur Campus,eligibility,"Candidate needs to submit application with SOP. UG 50 %, 45% for SC/ST/OBC",Bachelor's degree with minimum 50% marks. No entrance exam required.,UG degree with 50% (45% SC/ST/OBC). SOP required. CAT preferred. Intake: 60. || graduation required (min 50%); subjects: Any Graduate,,Bachelor's degree (3-year minimum) with minimum 50% (45% reserved). Valid CAT/MAT/XAT/CMAT score.,,
YES,yes,PGDM-KT,Post Graduate Diploma in Management (PGDM),Kotputli Jaipur Campus,fee_first_year,,175000,,,"Rs 2,25,000 per year (first year fee)",,
,yes,BALLB-GN,Bachelor of Arts and Bachelor of Laws (BALLB),Greater Noida Campus,affiliation,"CCS University Meerut, Bar Coucil of India",Chaudhary Charan Singh University | Bar Council of India,"CCSU, BCI",,,,
,yes,BALLB-GN,Bachelor of Arts and Bachelor of Laws (BALLB),Greater Noida Campus,entrance_exam,"CLAT, LSAT, NIMT Admission Test (NAT)",CLAT / University Entrance Test,"CLAT, LSAT, NIMT Admission Test (NAT)",,"BA LLB: CLAT, LSAT, ULSAT. LLB: Merit-based / CLAT PG.",,
,yes,BALLB-GN,Bachelor of Arts and Bachelor of Laws (BALLB),Greater Noida Campus,subjects,10 + 2 Any Stream,,Any Stream 10+2,,,,
,yes,BBA-GN,Bachelor of Business Administration (BBA),Greater Noida Campus,affiliation,AICTE,Chaudhary Charan Singh University | All India Council for Technical Education,"CCSU, AICTE",,,,
,yes,BBA-GN,Bachelor of Business Administration (BBA),Greater Noida Campus,entrance_exam,CUET UG,,CUET UG,,Merit-based (Class 12 marks),,
,yes,BBA-GN,Bachelor of Business Administration (BBA),Greater Noida Campus,subjects,10 + 2 Any Stream,,Any Stream 10+2,,,,
,yes,BCA-GN,Bachelor of Computer Application (BCA),Greater Noida Campus,affiliation,AICTE,Chaudhary Charan Singh University | All India Council for Technical Education,"CCSU, AICTE",,,,
,yes,BCA-GN,Bachelor of Computer Application (BCA),Greater Noida Campus,entrance_exam,CUET UG,,CUET UG,,Merit-based / JEECUP score,,
,yes,BCA-GN,Bachelor of Computer Application (BCA),Greater Noida Campus,subjects,10 + 2 Any Stream,,Any Stream 10+2,,,,
,yes,BED-GN,Bachelor of Education (B.Ed),Greater Noida Campus,affiliation,"CCS University Meerut,NCTE",Chaudhary Charan Singh University | National Council for Teacher Education,"CCSU, NCTE",,,,
,yes,BED-GN,Bachelor of Education (B.Ed),Greater Noida Campus,entrance_exam,Admission via UP B.Ed Joint Entrance Exam (JEEB.Ed),UP B.Ed JEE / State Entrance,Admission via UP B.Ed Joint Entrance Exam (JEEB.Ed),,UP B.Ed Joint Entrance Examination (UP BED JEE). Kotputli: State Level PTET.,,
,yes,BED-GZ,Bachelor of Education (B.Ed),Ghaziabad Campus 2 (Avantika),affiliation,"CCS University Meerut, NCTE",Chaudhary Charan Singh University | National Council for Teacher Education,"CCSU, NCTE",,,,
,yes,BED-GZ,Bachelor of Education (B.Ed),Ghaziabad Campus 2 (Avantika),entrance_exam,Admission via UP B.Ed Joint Entrance Exam (JEEB.Ed),UP B.Ed JEE / State Entrance,Admission via UP B.Ed Joint Entrance Exam (JEEB.Ed),,UP B.Ed Joint Entrance Examination (UP BED JEE). Kotputli: State Level PTET.,,
,yes,BED-KT,Bachelor of Education (B.Ed),Kotputli Jaipur Campus,affiliation,"University of Rajasthan,NCTE",University of Rajasthan | National Council for Teacher Education,"UoR, NCTE",,,,
,yes,BED-KT,Bachelor of Education (B.Ed),Kotputli Jaipur Campus,entrance_exam,Admission via PTET Entrance Exam,UP B.Ed JEE / State Entrance,Admission via PTET Entrance Exam,,UP B.Ed Joint Entrance Examination (UP BED JEE). Kotputli: State Level PTET.,,
,yes,BMRIT-GN,B.Sc in Radiology & Imaging Technology (BMRIT),Greater Noida Campus,affiliation,Atal Bihai Vajpayee Medical University Lucknow,"Atal Bihari Vajpayee Medical University, Lucknow",ABVMU,,,,
,yes,BMRIT-GN,B.Sc in Radiology & Imaging Technology (BMRIT),Greater Noida Campus,subjects,"Physics, Chemistry & Biology",,PCB (English Mandatory),,,,
,yes,BPT-GN,Bachelor of Physiotherapy (BPT),Greater Noida Campus,affiliation,Atal Bihai Vajpayee Medical University Lucknow,"Atal Bihari Vajpayee Medical University, Lucknow",ABVMU,,,,
,yes,BPT-GN,Bachelor of Physiotherapy (BPT),Greater Noida Campus,subjects,"Physics, Chemistry & Biology",,PCB (English Mandatory),,,,
,yes,BSA-G1,Grade I,Ghaziabad Campus 1 (Arthala),duration,,1 year (semester),,,Academic year,,
,yes,BSA-G10,Grade X,Ghaziabad Campus 1 (Arthala),duration,,1 year (quarterly),,,Academic year,,
,yes,BSA-G2,Grade II,Ghaziabad Campus 1 (Arthala),duration,,1 year (semester),,,Academic year,,
,yes,BSA-G3,Grade III,Ghaziabad Campus 1 (Arthala),duration,,1 year (semester),,,Academic year,,
,yes,BSA-G4,Grade IV,Ghaziabad Campus 1 (Arthala),duration,,1 year (semester),,,Academic year,,
,yes,BSA-G5,Grade V,Ghaziabad Campus 1 (Arthala),duration,,1 year (semester),,,Academic year,,
,yes,BSA-G6,Grade VI,Ghaziabad Campus 1 (Arthala),duration,,1 year (semester),,,Academic year,,
,yes,BSA-G7,Grade VII,Ghaziabad Campus 1 (Arthala),duration,,1 year (semester),,,Academic year,,
,yes,BSA-G8,Grade VIII,Ghaziabad Campus 1 (Arthala),duration,,1 year (semester),,,Academic year,,
,yes,BSA-G9,Grade IX,Ghaziabad Campus 1 (Arthala),duration,,1 year (quarterly),,,Academic year,,
,yes,BSAV-G1,Grade I,Ghaziabad Campus 3 (Avantika II),duration,,1 year (semester),,,Academic year,,
,yes,BSAV-G10,Grade X,Ghaziabad Campus 3 (Avantika II),duration,,1 year (semester),,,Academic year,,
,yes,BSAV-G11,Grade XI,Ghaziabad Campus 3 (Avantika II),duration,,1 year (semester),,,Academic year,,
,yes,BSAV-G12,Grade XII,Ghaziabad Campus 3 (Avantika II),duration,,1 year (semester),,,Academic year,,
,yes,BSAV-G2,Grade II,Ghaziabad Campus 3 (Avantika II),duration,,1 year (semester),,,Academic year,,
